Year,District ID,Name of district,Title of respondent,Type of school, Number of Male teachers,Number of female teachers, Number of teacher's who provide special needs education,Total Number of Teachers,Number of Absent Teachers
2010,105,Masaka,HEADTEACHER,Day,5,14,0,19,4
2010,105,Masaka,KIWEESA ANTHONY,Day,5,3,0,8,2
2010,105,Masaka,TEACHER,Day,8,3,0,11,8
2010,105,Masaka,SENIOR EDUC.ASSISTANT,Day,2,10,1,13,3
2010,105,Masaka,Deputy headteacher,Both,5,13,2,20,0
2010,105,Masaka,HEADMISTRESS,Day,2,10,0,12,7
2010,105,Masaka,ASSISTANT  HEADTEACHER,Day,3,6,1,10,3
2010,105,Masaka,Deputy,Day,5,6,1,12,10
2010,105,Masaka,HEAD TEACHER,Day,4,5,1,10,0
2010,105,Masaka,DEPUTY HEADTEACHER,Day,5,3,0,8,7
2010,105,Masaka,NAMUYANJA H/M,Day,4,4,0,8,4
2010,105,Masaka,headteacher,Day,3,12,2,17,0
2010,105,Masaka,DEPUTY HEADTEACHER,Day,6,8,2,16,0
2010,105,Masaka,HEADTEACHER,Day,2,7,1,10,0
2010,105,Masaka,HEAD TEACHEER,Day,4,11,1,16,9
2010,105,Masaka,DEPUTY HEAD MASTER,Day,8,6,1,15,7
2010,105,Masaka,HEADTEACHER,Both,3,8,1,12,0
2010,105,Masaka,deputy  headteacher,Day,4,9,2,15,4
2010,105,Masaka,HEADTEACHER,Day,4,11,2,17,0
2010,105,Masaka,MASAKA,Day,2,5,7,14,10
2010,105,Masaka,DEPUTY HEAD TR,Day,4,7,1,12,0
2010,105,Masaka,HEADMASTER,Day,6,7,0,13,59
2010,105,Masaka,Headteacher,Day,5,8,0,13,14
2010,105,Masaka,Deputy Head teacher,Day,5,7,0,12,12
2010,105,Masaka,DEPUTY HEADTEACHER,Day,7,7,1,15,10
2010,105,Masaka,director  of  studies,Day,8,9,1,18,2
2010,105,Masaka,HEAD TEACHER,Day,9,11,1,21,5
2010,105,Masaka,HEADTEACHER,Day,8,8,3,19,26
2010,105,Masaka,TEACHER,Day,5,3,0,8,0
2010,105,Masaka,HEADTEACHER,Day,4,3,0,7,2
2010,107,Mubende,HEADTEACHER,Day,5,6,,11,6
2010,107,Mubende,headteahcer,Day,7,3,3,13,8
2010,107,Mubende,Headmistress,Day,2,5,0,7,35
2010,107,Mubende,Deputy Headmaster,Day,3,7,0,10,4
2010,107,Mubende,deputy headmaster,Day,8,13,0,21,0
2010,107,Mubende,DEPUTY,Day,6,3,0,9,15
2010,107,Mubende,DEPUTY HEADTEACHER,Day,8,11,0,19,10
2010,107,Mubende,Head Teacher,Day,3,5,0,8,1
2010,107,Mubende,MR.YIGA CHARLES,Day,5,4,0,9,4
2010,107,Mubende,Deputy Headmaster,Day,3,4,0,7,2
2010,107,Mubende,HEADMISTRESS,Day,2,4,0,6,9
2010,107,Mubende,HEAD TEACHER,Day,9,8,1,18,0
2010,107,Mubende,NANYONDO JUSTINE,Day,2,5,0,7,22
2010,107,Mubende,DEPUTY HEADTEACHER,Day,4,1,,5,7
2010,107,Mubende,,Day,4,3,,7,0
2010,107,Mubende,HEAD TEACHER,Day,3,5,,8,0
2010,107,Mubende,HEADTEACHER,Day,5,1,0,6,5
2010,107,Mubende,HEADTEACHER,Day,5,3,,8,8
2010,107,Mubende,h/m,Day,5,4,,9,0
2010,107,Mubende,DEPUTY HEADMASTER,Day,7,7,,14,1
2010,107,Mubende,DEPUTY HEADTEACHER,Day,5,4,,9,8
2010,107,Mubende,volunteer,Day,5,0,,5,1
2010,107,Mubende,Deputy Headteacher,Day,2,4,1,7,0
2010,107,Mubende,DEPUTY HEADTEACHER,Day,4,2,6,12,2
2010,107,Mubende,HEADTEACHER,Day,2,6,,8,0
2010,107,Mubende,HEADMASTER,Day,2,4,6,12,7
2010,107,Mubende,assistant headmaster,Day,4,3,0,7,6
2010,107,Mubende,Teacher,Day,5,1,0,6,1
2010,107,Mubende,HEADMASTER,Day,6,5,0,11,22
2010,107,Mubende,CHAIRMAN  L C 1,Day,2,7,,9,0
2010,108,Mukono,second  deputy  headteacher,Day,2,4,0,6,0
2010,108,Mukono,deputy    head            teacher,Day,4,3,0,7,12
2010,108,Mukono,headmistress,Day,3,9,1,13,0
2010,108,Mukono,TEACHER,Day,2,3,0,5,0
2010,108,Mukono,TEACHER ON DUTY,Day,5,6,0,11,0
2010,108,Mukono,Deputy Head master,Day,4,9,,13,0
2010,108,Mukono,HEADTEACHER,Day,4,12,1,17,6
2010,108,Mukono,DEPUTY H/M,Day,4,4,2,10,0
2010,108,Mukono,DEPUTY HEAD TEACHER,Day,3,8,0,11,0
2010,108,Mukono,HEADTEACHER,Day,5,7,1,13,9
2010,108,Mukono,DEPUTY HEADTEACHER,Day,5,15,2,22,18
2010,108,Mukono,DEPUTY   H/M,Day,3,3,,6,5
2010,108,Mukono,HEADTEACHER,Day,6,9,0,15,9
2010,108,Mukono,HEADMASTER,Day,3,4,0,7,4
2010,108,Mukono,DIRECTOR OF STUDENTS,Day,4,8,0,12,16
2010,108,Mukono,DEPUTY,Day,7,2,0,9,10
2010,108,Mukono,TEACHER,Day,7,5,0,12,5
2010,108,Mukono,TEACHER ON DUTY,Day,3,2,,5,0
2010,108,Mukono,DEPUTY   HEADMASTER,Day,4,3,,7,7
2010,108,Mukono,TEACHER ON DUTY,Day,2,7,0,9,5
2010,108,Mukono,DEPUTY HEADMASTER,Both,9,7,0,16,6
2010,108,Mukono,HEAD MISTRESS,Day,3,11,,14,0
2010,108,Mukono,DEPUTY  HEADMASTER,Day,2,6,2,10,0
2010,108,Mukono,DEPUTY HEAD TEACHER,Day,4,8,0,12,5
2010,108,Mukono,senior woman,Day,8,6,1,15,4
2010,108,Mukono,DEPUTY HEADTEACHER,Day,4,6,,10,0
2010,108,Mukono,TEACHER  ON  DUTY,Day,2,4,,6,0
2010,108,Mukono,teacher  on  duty,Both,8,9,1,18,0
2010,109,Nakasongola,DEPUTY HEAD MASTER,Day,10,8,,18,1
2010,109,Nakasongola,DEPUTY  HEADTEACHER,Day,9,3,,12,10
2010,109,Nakasongola,Deputy Headteacher,Day,5,4,0,9,0
2010,109,Nakasongola,Headteacher,Day,5,4,0,9,5
2010,109,Nakasongola,HEAD TEACHER,Day,6,1,3,10,9
2010,109,Nakasongola,DEPUTY H.M,Day,10,6,16,32,18
2010,109,Nakasongola,DEPUTY HEADTEACHER,Day,4,4,0,8,1
2010,109,Nakasongola,HEADTEACHER,Day,5,4,0,9,4
2010,109,Nakasongola,HEADMASTER,Day,6,2,0,8,4
2010,109,Nakasongola,DEPUTY HEADTEACHER,Day,4,4,2,10,2
2010,109,Nakasongola,HEADMASTER,Day,6,1,0,7,2
2010,109,Nakasongola,deputy  headteacher,Day,3,7,1,11,6
2010,109,Nakasongola,SWAIBU BURUHANI,Day,5,4,0,9,3
2010,109,Nakasongola,KISOLO HERNY,Day,5,3,0,8,9
2010,109,Nakasongola,ASSISTANT HEADTEACHER,Day,5,4,0,9,0
2010,109,Nakasongola,director of studies,Day,6,3,0,9,3
2010,109,Nakasongola,HEADMASTER,Day,4,3,0,7,5
2010,109,Nakasongola,Deputy Headteacher,Day,2,3,0,5,0
2010,109,Nakasongola,deputy headmaster,Day,5,4,1,10,1
2010,109,Nakasongola,HEADMASTER,Day,6,2,0,8,35
2010,109,Nakasongola,ASSISTANT H/M,Day,3,5,0,8,0
2010,109,Nakasongola,HEADMASTER,Day,3,0,0,3,4
2010,109,Nakasongola,HEADTEACHER,Day,3,3,0,6,2
2010,109,Nakasongola,DEPUTY H.M,Day,4,4,0,8,3
2010,109,Nakasongola,HEADMISTRESS,Both,6,4,0,10,0
2010,109,Nakasongola,senior woman teacher,Day,3,5,1,9,3
2010,109,Nakasongola,TEACHER ON DUTY,Day,5,4,0,9,4
2010,109,Nakasongola,DEPUTY  HEADMASTER,Day,7,2,,9,3
